Date,Close,High,Low,Open,Volume,MA20,MA50,EMA20,EMA50,RSI,OBV,Fib23,Fib38,Fib50,Fib61,OilPrice,USDINR,SP500,NewsSentiment
2023-08-02,798.407958984375,803.7615021412346,794.830830666086,799.1379875966741,28116322,810.3585144042969,799.9643701171875,809.5025008909463,804.0884610402436,49.83137734816912,604436696,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,79.48999786376953,82.30729675292969,4513.39013671875,0.17771599999999999
2023-08-03,792.6407470703125,803.6884896703888,789.8909607409018,798.1646183703506,57673946,809.2306213378906,800.0894494628906,807.8966195746954,803.639531080616,45.7472789786336,546762750,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,81.55000305175781,82.7332992553711,4501.89013671875,0.17771599999999999
2023-08-04,804.1021728515625,806.1949453417267,792.9327586465489,795.8042164551875,37388304,809.0310791015625,800.5041064453125,807.5352436963017,803.6576738951637,42.39317314247249,584151054,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,82.81999969482422,82.7843017578125,4478.02978515625,0.17771599999999999
2023-08-07,803.6398315429688,809.4070457041624,801.8391180613743,809.4070457041624,28300918,808.904541015625,800.8491674804687,807.1642520626509,803.6569741950776,42.50217613239482,555850136,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,81.94000244140625,82.69529724121094,4518.43994140625,0.17771599999999999
2023-08-08,802.9828491210938,805.7569341954113,799.1623777784342,803.8588478451442,43773828,808.9410461425781,800.9893347167969,806.766023211074,803.6305379176654,39.57348770827653,512076308,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,82.91999816894531,82.74829864501953,4499.3798828125,0.17771599999999999
2023-08-09,803.2747802734375,805.221523152016,793.8330654303563,804.4914945725491,33361236,809.3681121826172,801.1231726074219,806.43352388368,803.6165866374989,38.46148608005811,545437544,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,84.4000015258789,82.84500122070312,4467.7099609375,0.17771599999999999
2023-08-10,796.1448364257812,805.099865704745,793.7844225264857,801.5957522263969,50781118,809.2403564453125,801.366513671875,805.4536488876896,803.3235768252628,38.08240955154287,494656426,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,82.81999969482422,82.86630249023438,4468.830078125,0.17771599999999999
2023-08-11,787.846923828125,797.3859527425766,786.5814933374278,797.3859527425766,28225822,808.6149688720703,801.5105737304688,803.7768179296359,802.7166492567238,33.608343571486216,466430604,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,83.19000244140625,82.79989624023438,4464.0498046875,0.17771599999999999
2023-08-14,784.0020751953125,785.9974748594191,778.8188601509507,784.0507318876311,31304410,806.960238647461,801.5534033203126,801.8935090977956,801.9827443915428,25.01453368267798,435126194,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,82.51000213623047,82.89730072021484,4489.72021484375,0.17771599999999999
2023-08-16,781.714599609375,783.3937010320665,769.5961724006356,770.4721710730195,34137542,805.2252044677734,801.5709216308594,799.9717081941365,801.1879151843702,25.190784604678385,400988652,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,79.37999725341797,83.19419860839844,4404.330078125,0.17771599999999999
2023-08-17,777.3831176757812,783.5153458133944,775.7770310495571,777.529087744607,52884040,803.0886535644531,801.5504809570313,797.8204138590551,800.2543937134128,26.538766194119177,348104612,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,80.38999938964844,83.23699951171875,4370.35986328125,0.17771599999999999
2023-08-18,774.1953125,776.8964420218484,771.6402124587459,772.6379419530916,25633366,800.703890991211,801.3854956054688,795.5704042058117,799.2324689599116,30.963471328124427,322471246,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,81.25,83.09829711914062,4369.7099609375,0.17771599999999999
2023-08-21,773.5869750976562,778.9405181779168,772.3702607612333,778.9405181779168,21837270,798.6050598144532,801.1986096191406,793.4767442907491,798.2267633182222,26.646445371649364,300633976,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,80.72000122070312,83.16729736328125,4399.77001953125,0.17771599999999999
2023-08-22,770.2774658203125,777.7237811054864,768.963438139342,776.9207377849476,32273570,796.2762664794922,800.9270373535156,791.2672891983267,797.1307124359174,18.88919188272962,268360406,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,80.3499984741211,83.1135025024414,4387.5498046875,0.17771599999999999
2023-08-23,772.1755981445312,774.0980425006611,765.6783552717781,768.9634840803492,36498588,793.599496459961,800.788818359375,789.449032907489,796.1520805028929,25.499958386680092,304858994,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,78.88999938964844,83.07330322265625,4436.009765625,0.17771599999999999
2023-08-24,768.622802734375,776.8477441031978,767.0897307917666,775.4364030038525,43145792,790.8886596679688,800.5532629394531,787.4655824148114,795.0725009825281,26.600241186810365,261713202,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,79.05000305175781,82.5447006225586,4376.31005859375,0.17771599999999999
2023-08-25,759.9597778320312,767.746749618975,758.4510639302869,766.3110504597091,30069756,788.1717376708984,800.1614807128906,784.8459819783562,793.6955314471769,4.513498860996265,231643446,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,79.83000183105469,82.64140319824219,4405.7099609375,0.17771599999999999
2023-08-28,767.868408203125,770.2531801549441,759.9597651143588,759.9597651143588,28867238,786.5717559814453,800.1196252441406,783.229070190239,792.6827030846385,18.043431083988636,260510684,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,80.0999984741211,82.66429901123047,4433.31005859375,0.17771599999999999
